Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-0.16,-0.28,-0.05,-0.35,-0.13,-0.02,-0.83,-0.45,-0.26,-0.15,-0.1,-0.04,0.05,0.63
1881,-0.08,-0.16,0,-0.32,0.1,-0.07,-0.92,-0.42,-0.17,0.1,0.11,-0.05,-0.07,0.55
1882,-0.1,-0.2,-0.01,-0.28,-0.05,0.01,-1.42,-0.24,-0.11,-0.05,-0.05,0.01,0.04,0.59
1883,-0.17,-0.27,-0.07,-0.33,-0.17,-0.02,-0.2,-0.53,-0.24,-0.17,-0.16,-0.04,0.07,0.46
1884,-0.28,-0.43,-0.15,-0.6,-0.15,-0.14,-1.35,-0.65,-0.44,-0.13,-0.17,-0.19,-0.02,0.61
1885,-0.32,-0.41,-0.25,-0.63,-0.12,-0.28,-1.52,-0.66,-0.43,-0.05,-0.2,-0.33,-0.15,0.78
1886,-0.3,-0.41,-0.2,-0.55,-0.18,-0.22,-1.61,-0.48,-0.38,-0.19,-0.18,-0.2,-0.21,0.55
1887,-0.35,-0.41,-0.29,-0.5,-0.28,-0.28,-1.76,-0.49,-0.26,-0.27,-0.3,-0.27,-0.26,0.28
1888,-0.16,-0.21,-0.12,-0.39,0.11,-0.29,-1.3,-0.4,-0.22,0.09,0.12,-0.31,-0.23,0.12
1889,-0.1,-0.16,-0.04,-0.28,0.09,-0.17,-0.68,-0.21,-0.25,0.04,0.13,-0.15,-0.15,0.41
1890,-0.35,-0.37,-0.33,-0.45,-0.36,-0.23,-1.13,-0.56,-0.25,-0.24,-0.48,-0.18,-0.27,0.11
1891,-0.22,-0.24,-0.19,-0.41,-0.07,-0.22,-1.12,-0.32,-0.35,0.03,-0.17,-0.18,-0.24,-0.2
1892,-0.26,-0.37,-0.16,-0.42,-0.28,-0.08,-1.12,-0.63,-0.16,-0.3,-0.27,0.02,-0.21,0.05
1893,-0.31,-0.46,-0.16,-0.5,-0.36,-0.05,-0.69,-0.53,-0.45,-0.4,-0.31,0.07,-0.2,-0.08
1894,-0.29,-0.36,-0.22,-0.31,-0.32,-0.24,-0.94,-0.31,-0.16,-0.45,-0.19,-0.15,-0.35,-0.42
1895,-0.22,-0.28,-0.15,-0.38,-0.06,-0.26,-0.65,-0.5,-0.25,-0.11,0,-0.2,-0.32,-0.62
1896,-0.1,-0.17,-0.04,-0.33,0.11,-0.16,-0.86,-0.34,-0.2,0.09,0.13,-0.15,-0.13,0.21
1897,-0.1,-0.14,-0.06,-0.34,0.18,-0.24,-0.56,-0.44,-0.22,0.17,0.19,-0.19,-0.27,0.36
1898,-0.26,-0.25,-0.27,-0.32,-0.21,-0.27,-1.12,-0.18,-0.21,-0.15,-0.27,-0.28,-0.21,0.34
1899,-0.17,-0.19,-0.14,-0.23,-0.11,-0.19,-1.05,-0.07,-0.13,-0.14,-0.09,-0.15,-0.22,0.54
1900,-0.07,-0.06,-0.07,-0.18,0.18,-0.3,-0.54,-0.11,-0.14,0.12,0.24,-0.29,-0.29,0.23
1901,-0.15,-0.11,-0.19,-0.15,-0.03,-0.31,-0.43,-0.09,-0.13,-0.03,-0.02,-0.27,-0.34,0.22
1902,-0.28,-0.32,-0.23,-0.52,-0.04,-0.35,-1.41,-0.5,-0.32,-0.01,-0.06,-0.28,-0.43,-0.09
1903,-0.37,-0.37,-0.37,-0.46,-0.28,-0.39,-0.29,-0.4,-0.55,-0.22,-0.34,-0.35,-0.4,-0.5
1904,-0.47,-0.47,-0.47,-0.5,-0.46,-0.44,-0.18,-0.57,-0.54,-0.42,-0.51,-0.37,-0.49,-1.32
1905,-0.26,-0.28,-0.23,-0.4,-0.09,-0.36,-0.07,-0.21,-0.61,-0.1,-0.07,-0.33,-0.37,-0.34
1906,-0.22,-0.23,-0.22,-0.25,-0.2,-0.24,-0.29,-0.04,-0.38,-0.2,-0.2,-0.21,-0.22,-0.72
1907,-0.39,-0.46,-0.31,-0.58,-0.31,-0.3,-0.59,-0.7,-0.51,-0.3,-0.33,-0.21,-0.37,-1.2
1908,-0.43,-0.45,-0.41,-0.47,-0.45,-0.36,-0.24,-0.52,-0.51,-0.42,-0.48,-0.29,-0.48,0.67
1909,-0.48,-0.49,-0.49,-0.52,-0.49,-0.44,-0.76,-0.6,-0.43,-0.44,-0.54,-0.37,-0.52,-0.57
1910,-0.43,-0.44,-0.44,-0.4,-0.5,-0.38,-0.58,-0.22,-0.48,-0.49,-0.51,-0.33,-0.45,0.16
1911,-0.44,-0.42,-0.46,-0.41,-0.43,-0.48,-0.29,-0.4,-0.46,-0.43,-0.43,-0.44,-0.53,0.05
1912,-0.36,-0.46,-0.25,-0.58,-0.19,-0.37,-0.5,-0.77,-0.49,-0.28,-0.1,-0.36,-0.29,-1.64
1913,-0.35,-0.42,-0.27,-0.43,-0.28,-0.35,-0.5,-0.31,-0.49,-0.39,-0.16,-0.28,-0.4,-1.04
1914,-0.16,-0.19,-0.12,-0.24,-0.07,-0.18,-0.38,-0.15,-0.27,-0.12,-0.03,-0.16,-0.18,-0.37
1915,-0.14,-0.14,-0.14,-0.22,-0.02,-0.22,-0.59,-0.14,-0.18,-0.01,-0.03,-0.15,-0.23,-1.99
1916,-0.36,-0.41,-0.31,-0.36,-0.45,-0.23,-0.49,-0.52,-0.23,-0.49,-0.41,-0.23,-0.17,-1.05
1917,-0.46,-0.57,-0.36,-0.49,-0.64,-0.19,-0.83,-0.48,-0.42,-0.69,-0.59,-0.23,-0.1,0.06
1918,-0.3,-0.39,-0.21,-0.4,-0.34,-0.14,-1.02,-0.25,-0.34,-0.38,-0.3,-0.06,-0.23,-0.29
1919,-0.28,-0.35,-0.21,-0.43,-0.21,-0.22,-0.71,-0.54,-0.29,-0.23,-0.18,-0.15,-0.32,0.19
1920,-0.28,-0.3,-0.25,-0.25,-0.26,-0.32,-0.02,-0.19,-0.34,-0.38,-0.15,-0.19,-0.48,-1.15
1921,-0.19,-0.11,-0.27,0.02,-0.26,-0.31,-0.02,0.18,-0.08,-0.29,-0.23,-0.23,-0.38,-0.84
1922,-0.28,-0.27,-0.3,-0.24,-0.33,-0.28,-0.31,-0.39,-0.13,-0.33,-0.32,-0.24,-0.29,-0.28
1923,-0.27,-0.22,-0.31,-0.15,-0.3,-0.34,0.16,-0.14,-0.25,-0.33,-0.28,-0.26,-0.41,-0.55
1924,-0.27,-0.18,-0.36,-0.13,-0.26,-0.43,0.46,-0.24,-0.22,-0.27,-0.25,-0.39,-0.45,-0.54
1925,-0.22,-0.14,-0.3,-0.04,-0.25,-0.38,-0.08,0.19,-0.18,-0.29,-0.21,-0.24,-0.55,-0.87
1926,-0.11,0.01,-0.22,0.03,0,-0.41,0.56,0.17,-0.21,-0.01,0.01,-0.35,-0.45,-0.64
1927,-0.22,-0.13,-0.3,-0.12,-0.17,-0.39,0.01,-0.2,-0.12,-0.15,-0.19,-0.3,-0.46,-1.39
1928,-0.2,-0.1,-0.3,-0.06,-0.16,-0.4,0.71,-0.16,-0.22,-0.16,-0.17,-0.29,-0.48,-2.13
1929,-0.36,-0.33,-0.38,-0.37,-0.28,-0.46,0.14,-0.61,-0.38,-0.28,-0.29,-0.43,-0.45,-1.08
1930,-0.16,-0.01,-0.3,0.04,-0.12,-0.42,0.53,0.04,-0.1,-0.1,-0.13,-0.33,-0.47,-2.6
1931,-0.1,0.05,-0.22,0.01,0.07,-0.43,0.57,-0.03,-0.14,0.1,0.05,-0.42,-0.4,-0.42
1932,-0.16,-0.05,-0.26,0.04,-0.17,-0.35,0.48,0.2,-0.2,-0.19,-0.14,-0.21,-0.53,-0.99
1933,-0.29,-0.25,-0.32,-0.24,-0.29,-0.34,-0.16,-0.46,-0.11,-0.28,-0.29,-0.21,-0.49,-1.15
1934,-0.13,0,-0.26,0.18,-0.26,-0.26,0.88,0.31,-0.12,-0.26,-0.25,-0.16,-0.38,-0.57
1935,-0.2,-0.1,-0.31,-0.04,-0.19,-0.38,0.34,-0.05,-0.16,-0.17,-0.21,-0.31,-0.42,-1.72
1936,-0.15,-0.04,-0.27,-0.03,-0.14,-0.3,0.39,0.11,-0.25,-0.06,-0.22,-0.27,-0.33,-0.04
1937,-0.03,0.12,-0.18,0.2,-0.06,-0.22,1.23,0.03,-0.02,0,-0.12,-0.19,-0.26,0.36
1938,-0.01,0.16,-0.19,0.39,-0.23,-0.1,1.5,0.38,0.03,-0.18,-0.28,-0.06,-0.11,-0.87
1939,-0.02,0.09,-0.13,0.22,-0.13,-0.12,0.56,0.28,0.08,-0.11,-0.14,-0.04,-0.19,-1.61
1940,0.12,0.17,0.09,0.11,0.28,-0.07,1,-0.02,-0.09,0.27,0.29,0.03,-0.2,-0.06
1941,0.18,0.23,0.16,0.01,0.49,-0.05,0,-0.09,0.09,0.54,0.43,0.04,-0.15,-0.47
1942,0.06,0.13,0,0.13,0.07,-0.01,0.73,-0.06,0.06,0.12,0.03,0.06,-0.05,-0.91
1943,0.09,0.18,-0.01,0.37,-0.09,0.04,1.42,0.28,0.11,-0.11,-0.07,0.07,0,1.13
1944,0.2,0.27,0.14,0.38,0.18,0.05,1.17,0.46,0.09,0.1,0.26,0.19,-0.1,-0.92
1945,0.09,0.1,0.09,0.1,0.16,-0.03,0.63,-0.03,0.04,0.09,0.24,0.03,0,-1.75
1946,-0.08,0.02,-0.17,0.06,-0.05,-0.24,-0.03,-0.05,0.16,-0.03,-0.08,-0.22,-0.24,-0.15
1947,-0.03,0.08,-0.14,0.16,-0.07,-0.16,1.07,-0.13,0.04,-0.04,-0.1,-0.19,-0.08,-0.19
1948,-0.11,-0.02,-0.2,0.13,-0.19,-0.24,0.12,0.31,0,-0.23,-0.15,-0.19,-0.19,-1.35
1949,-0.11,-0.03,-0.2,0.11,-0.19,-0.23,0.2,0.16,0.05,-0.23,-0.15,-0.17,-0.15,-1.95
1950,-0.18,-0.15,-0.21,-0.05,-0.29,-0.14,0.2,-0.31,0.04,-0.3,-0.29,-0.06,-0.16,-0.87
1951,-0.07,0.04,-0.18,0.08,-0.06,-0.23,0.09,0.01,0.12,-0.01,-0.12,-0.21,-0.16,-0.7
1952,0.01,0.06,-0.04,0.11,0.01,-0.09,0.27,-0.09,0.19,-0.01,0.04,-0.1,-0.02,-0.49
1953,0.08,0.24,-0.08,0.35,0.07,-0.18,1.02,0.35,0.14,0.08,0.06,-0.08,-0.24,-1.09
1954,-0.13,-0.02,-0.26,0.07,-0.21,-0.22,0.81,-0.21,0,-0.14,-0.29,-0.17,-0.2,-0.8
1955,-0.14,-0.09,-0.21,0.04,-0.34,-0.06,-0.24,-0.11,0.23,-0.3,-0.39,-0.16,-0.08,1.22
1956,-0.19,-0.23,-0.16,-0.2,-0.33,0,0.01,-0.47,-0.09,-0.29,-0.37,-0.13,0.02,0.76
1957,0.05,0.04,0.05,0.03,0.08,0.02,0.09,0.22,-0.11,0.05,0.1,-0.09,-0.02,0.48
1958,0.06,0.15,-0.02,0.08,0.2,-0.14,-0.17,0.15,0.12,0.26,0.15,-0.08,-0.08,-0.47
1959,0.03,0.12,-0.06,0.16,0.07,-0.15,0.48,0.18,0.04,0.07,0.08,-0.03,-0.26,-0.32
1960,-0.02,0.08,-0.12,0.09,0.02,-0.19,0.34,-0.07,0.11,0.06,-0.03,-0.1,-0.07,-0.7
1961,0.06,0.08,0.03,0.19,-0.03,0.06,-0.15,0.38,0.18,-0.07,0,0.14,-0.17,0.25
1962,0.04,0.13,-0.06,0.24,-0.05,-0.06,0.45,0.31,0.14,-0.05,-0.05,0.09,-0.07,-0.55
1963,0.05,0.14,-0.03,0.14,0.12,-0.12,-0.16,0.31,0.13,0.13,0.1,-0.1,-0.17,-0.03
1964,-0.2,-0.19,-0.2,-0.23,-0.14,-0.25,-0.67,-0.2,-0.12,-0.14,-0.14,-0.3,-0.07,-0.4
1965,-0.11,-0.14,-0.07,-0.18,-0.03,-0.14,-0.28,-0.24,-0.12,-0.08,0.02,-0.23,-0.03,-0.02
1966,-0.06,-0.02,-0.09,-0.14,0.08,-0.16,-0.76,-0.19,0.09,0.16,0,-0.24,-0.14,0.06
1967,-0.02,0.03,-0.07,0.12,-0.14,-0.01,0.36,0.27,-0.05,-0.11,-0.17,-0.09,-0.02,0.29
1968,-0.08,-0.07,-0.09,-0.1,-0.06,-0.08,-0.33,-0.02,-0.08,-0.02,-0.11,-0.14,0,-0.03
1969,0.06,-0.03,0.15,-0.29,0.34,0.03,-0.04,-0.61,-0.17,0.35,0.32,0,0.13,-0.08
1970,0.03,-0.04,0.09,-0.11,0.07,0.1,-0.21,-0.13,-0.06,0.07,0.07,0.11,0.03,0.26
1971,-0.08,-0.15,-0.02,-0.06,-0.26,0.12,-0.08,0.02,-0.1,-0.3,-0.22,0.03,0.16,0.4
1972,0.01,-0.17,0.19,-0.34,0.17,0.14,-0.37,-0.47,-0.24,0.07,0.27,0.16,-0.02,0.4
1973,0.16,0.09,0.23,0.11,0.19,0.18,0.07,0.27,0.02,0.08,0.3,0.22,0.08,0.32
1974,-0.07,-0.18,0.03,-0.14,-0.2,0.17,-0.19,-0.07,-0.18,-0.23,-0.17,0.22,-0.08,0.64
1975,-0.01,-0.05,0.02,0.12,-0.24,0.15,0.1,0.39,-0.05,-0.31,-0.17,0.13,0.14,0.25
1976,-0.1,-0.21,0.01,-0.26,-0.11,0.08,-0.07,-0.32,-0.28,-0.13,-0.1,0.1,0.22,-0.28
1977,0.18,0.12,0.24,0.14,0.16,0.25,0.16,0.24,0.07,0.1,0.22,0.21,0.31,0.24
1978,0.07,0.02,0.11,-0.03,0.08,0.16,-0.16,0.04,-0.03,0.1,0.05,0.21,0.13,0.03
1979,0.16,0.09,0.24,-0.03,0.26,0.23,-0.61,0.06,0.09,0.26,0.27,0.29,0.33,-0.21
1980,0.26,0.17,0.35,0.06,0.31,0.39,0.25,0.02,0.03,0.33,0.28,0.35,0.37,0.57
1981,0.32,0.37,0.27,0.48,0.18,0.35,1.09,0.78,0.09,0.22,0.14,0.28,0.39,0.56
1982,0.14,0.06,0.22,-0.08,0.27,0.18,-0.4,0.09,-0.08,0.25,0.29,0.18,0.32,-0.12
1983,0.31,0.25,0.37,0.22,0.43,0.23,0.18,0.69,-0.06,0.29,0.57,0.21,0.41,-0.03
1984,0.16,0.04,0.27,0.02,0.18,0.26,0.36,0.08,-0.13,0.07,0.29,0.16,0.32,0.47
1985,0.12,0,0.23,-0.03,0.09,0.3,0.38,-0.27,-0.01,0.04,0.14,0.3,0.44,0
1986,0.18,0.14,0.23,0.11,0.23,0.2,0,0.28,0.03,0.18,0.27,0.25,0.25,-0.09
1987,0.32,0.25,0.4,0.04,0.58,0.25,-0.37,0.13,0.12,0.55,0.62,0.32,0.25,0.01
1988,0.38,0.37,0.4,0.4,0.37,0.38,0.58,0.57,0.24,0.32,0.42,0.38,0.2,0.78
1989,0.27,0.27,0.27,0.41,0.13,0.33,0.33,0.69,0.25,0.07,0.19,0.36,0.3,0.3
1990,0.45,0.53,0.37,0.63,0.37,0.38,0.58,0.88,0.49,0.38,0.36,0.37,0.37,0.39
1991,0.4,0.41,0.39,0.47,0.36,0.39,0.75,0.66,0.26,0.32,0.4,0.31,0.29,0.89
1992,0.22,0.14,0.3,0.1,0.28,0.26,-0.17,0.44,-0.03,0.2,0.36,0.2,0.33,0.34
1993,0.23,0.19,0.27,0.13,0.32,0.22,0.54,0.29,-0.11,0.29,0.35,0.27,0.39,-0.32
1994,0.31,0.37,0.26,0.43,0.31,0.2,0.34,0.5,0.42,0.28,0.33,0.26,0.23,-0.06
1995,0.45,0.58,0.31,0.7,0.43,0.22,1.31,0.98,0.32,0.41,0.44,0.29,0.15,0.14
1996,0.33,0.26,0.39,0.23,0.32,0.43,0.76,0.17,0.11,0.31,0.32,0.33,0.28,1.19
1997,0.46,0.52,0.41,0.53,0.51,0.34,0.75,0.9,0.23,0.5,0.52,0.42,0.36,0.01
1998,0.61,0.71,0.52,0.78,0.69,0.33,0.85,0.94,0.66,0.6,0.79,0.39,0.31,0.19
1999,0.39,0.48,0.29,0.7,0.21,0.31,0.39,0.8,0.74,0.16,0.25,0.46,0.19,0.03
2000,0.4,0.5,0.29,0.7,0.25,0.29,0.96,0.8,0.56,0.21,0.28,0.42,0.1,0.27
2001,0.54,0.64,0.43,0.8,0.42,0.43,1.06,0.86,0.69,0.4,0.44,0.58,0.24,0.32
2002,0.62,0.71,0.54,0.83,0.59,0.47,1.25,1,0.58,0.55,0.63,0.49,0.32,0.72
2003,0.62,0.75,0.5,0.84,0.64,0.38,1.5,0.98,0.54,0.61,0.66,0.44,0.24,0.46
2004,0.54,0.66,0.42,0.73,0.55,0.34,0.47,0.95,0.67,0.56,0.53,0.48,0.23,0.08
2005,0.68,0.86,0.5,1.02,0.62,0.42,1.98,1.22,0.57,0.62,0.61,0.49,0.19,0.71
2006,0.64,0.82,0.46,0.99,0.56,0.4,1.73,1.06,0.7,0.57,0.54,0.51,0.2,0.44
2007,0.66,0.85,0.46,1.13,0.46,0.46,2.11,1.32,0.69,0.45,0.48,0.5,0.07,1.17
2008,0.54,0.68,0.4,0.92,0.38,0.39,1.54,1.08,0.62,0.34,0.42,0.53,0.09,0.55
2009,0.66,0.73,0.59,0.78,0.68,0.5,1.42,0.6,0.69,0.66,0.71,0.6,0.15,0.92
2010,0.72,0.9,0.55,1.03,0.69,0.47,2.21,0.86,0.74,0.72,0.65,0.64,0.2,0.49
2011,0.61,0.74,0.46,0.99,0.37,0.54,2.34,0.93,0.58,0.39,0.35,0.64,0.18,0.98
2012,0.64,0.81,0.47,1.04,0.52,0.4,2.2,0.93,0.74,0.48,0.57,0.56,0.19,0.25
2013,0.68,0.8,0.56,0.95,0.58,0.55,1.56,1.04,0.7,0.58,0.58,0.63,0.23,0.99
2014,0.74,0.92,0.57,1.07,0.67,0.52,2.04,1.12,0.73,0.69,0.64,0.72,0.18,0.52
2015,0.9,1.18,0.63,1.32,0.95,0.41,2,1.47,1,0.97,0.93,0.75,0.18,-0.34
2016,1.01,1.31,0.73,1.55,1.01,0.49,3.24,1.42,1.08,0.95,1.06,0.68,0.26,0.36
2017,0.92,1.18,0.67,1.39,0.81,0.6,2.51,1.36,1.05,0.86,0.76,0.76,0.35,0.55
2018,0.85,1.04,0.66,1.25,0.67,0.68,2.15,1.08,1.06,0.72,0.62,0.8,0.38,0.93